eda_madr,causa_def,ocurrencias
14,Feto y recién nacido afectados por presentación anómala antes del trabajo de parto,1
14,Feto y recién nacido afectados por prolapso del cordón umbilical,3
14,Feto y recién nacido afectados por ruptura prematura de las membranas,45
14,Feto y recién nacido afectados por trastornos hipertensivos de la madre,6
14,Feto y recién nacido afectados por traumatismo de la madre,1
14,Gastrosquisis,1
14,"Hidrocéfalo congénito, no especificado",1
14,Hidropesía fetal debida a otras enfermedades hemolíticas especificadas y a las no especificadas,1
14,Hidropesía fetal no debida a enfermedad hemolítica,11
14,Hipoxia intrauterina notada por primera vez antes del inicio del trabajo de parto,31
14,Hipoxia intrauterina notada por primera vez durante el trabajo de parto y el parto,5
14,"Hipoxia intrauterina, no especificada",14
14,"Malformaciones congénitas múltiples, no clasificadas en otra parte",8
14,"Malformación congénita de la cara y del cuello, no especificada",1
14,"Malformación congénita del corazón, no especificada",1
14,"Malformación congénita del sistema digestivo, no especificada",1
14,"Malformación congénita, no especificada",5
14,Muerte fetal de causa no especificada,23
14,Otras afecciones especificadas originadas en el período perinatal,178
14,Otras enfermedades hemolíticas del feto y del recién nacido,1
14,"Otras malformaciones congénitas, especificadas",1
14,Pequeño para la edad gestacional,14
14,Recién nacido postérmino sin sobrepeso para su edad gestacional,1
14,"Retardo del crecimiento fetal, no especificado",12
14,"Síndrome de Down, no especificado",1
14,Síndrome de Potter,1
14,Síndrome del recién nacido de madre diabética,2
14,"Terminación del embarazo, feto y recién nacido",2
14,Ventrículo con doble entrada,1
15,Acondroplasia,1
15,Anencefalia,26
15,"Anomalía cromosómica, no especificada",3
15,Ausencia e hipoplasia congénita de la arteria umbilical,1
15,Bajo peso para la edad gestacional,98
15,"Desnutrición fetal, sin mención de peso o talla bajos para la edad gestacional",18
15,Displasia renal,1
15,"Espina bífida, no especificada",1
15,Feto y recién nacido afectados por afección materna no especificada,3
15,Feto y recién nacido afectados por anormalidad no especificada de las membranas,3
15,Feto y recién nacido afectados por complicaciones maternas no especificadas del embarazo,6
15,Feto y recién nacido afectados por complicaciones no especificadas del trabajo de parto y del parto,6
15,Feto y recién nacido afectados por contracciones uterinas anormales,1
15,Feto y recién nacido afectados por corioamnionitis,5
15,Feto y recién nacido afectados por drogadicción materna,2
15,Feto y recién nacido afectados por enfermedades infecciosas y parasitarias de la madre,4
15,Feto y recién nacido afectados por enfermedades renales y de las vías urinarias de la madre,22
15,Feto y recién nacido afectados por incompetencia del cuello uterino,19
15,Feto y recién nacido afectados por muerte materna,1
15,Feto y recién nacido afectados por oligohidramnios,21
15,Feto y recién nacido afectados por otra compresión del cordón umbilical,48
15,"Feto y recién nacido afectados por otra presentación anómala, posición anómala y desproporción durante el trabajo de parto y el parto",2
15,Feto y recién nacido afectados por otras afecciones maternas,11
15,Feto y recién nacido afectados por otras anormalidades de las membranas,2
15,Feto y recién nacido afectados por otras anormalidades morfológicas y funcionales de la placenta y las no especificadas,173
15,Feto y recién nacido afectados por otras complicaciones del cordón umbilical y las no especificadas,13
15,Feto y recién nacido afectados por otras complicaciones especificadas del trabajo de parto y del parto,12
15,Feto y recién nacido afectados por otras complicaciones maternas del embarazo,45
15,Feto y recién nacido afectados por otras formas de desprendimiento y de hemorragia placentarios,57
15,Feto y recién nacido afectados por otras medicaciones maternas,1
15,Feto y recién nacido afectados por parto con fórceps,1
15,Feto y recién nacido afectados por parto precipitado,3
15,Feto y recién nacido afectados por parto y extracción de nalgas,3
15,Feto y recién nacido afectados por placenta previa,9
15,Feto y recién nacido afectados por polihidramnios,3
15,Feto y recién nacido afectados por presentación anómala antes del trabajo de parto,2
15,Feto y recién nacido afectados por prolapso del cordón umbilical,6
15,Feto y recién nacido afectados por ruptura prematura de las membranas,94
15,Feto y recién nacido afectados por síndromes de transfusión placentaria,1
15,Feto y recién nacido afectados por trastornos hipertensivos de la madre,17
15,Feto y recién nacido afectados por traumatismo de la madre,3
15,Gastrosquisis,5
15,Hemorragia fetal hacia la circulación materna,1
15,"Hemorragia intracraneal (no traumática) del feto y del recién nacido, sin otra especificación",1
15,"Hemorragia intraventricular (no traumática) del feto y del recién nacido, sin otra especificación",2
15,"Hidrocéfalo congénito, no especificado",1
15,Hidropesía fetal debida a incompatibilidad,1
15,Hidropesía fetal no debida a enfermedad hemolítica,17
15,Hipoplasia y displasia pulmonar,3
15,Hipoxia intrauterina notada por primera vez antes del inicio del trabajo de parto,73
15,Hipoxia intrauterina notada por primera vez durante el trabajo de parto y el parto,6
15,"Hipoxia intrauterina, no especificada",29
15,Malformaciones congénitas del cuerpo calloso,1
15,"Malformaciones congénitas múltiples, no clasificadas en otra parte",31
15,"Malformación congénita de la cara y del cuello, no especificada",1
15,"Malformación congénita del corazón, no especificada",5
15,"Malformación congénita del pulmón, no especificada",1
15,"Malformación congénita, no especificada",10
15,Muerte fetal de causa no especificada,45
15,Otras afecciones especificadas originadas en el período perinatal,457
15,Otras infecciones especificadas propias del período perinatal,1
15,Otras malformaciones congénitas del pulmón,1
15,"Otras malformaciones congénitas del sistema nervioso, no especificada",1
15,Otras malformaciones congénitas del sistema osteomuscular,1
15,"Otras malformaciones congénitas, especificadas",2
15,Otros trastornos cardiovasculares originados en el período perinatal,1
15,Otros trastornos hematológicos perinatales especificados,1
15,Pequeño para la edad gestacional,38
15,Recién nacido postérmino sin sobrepeso para su edad gestacional,1
15,"Retardo del crecimiento fetal, no especificado",29
15,"Riñón poliquístico, autosómico recesivo",1
15,"Síndrome de Edwards, no especificado",1
15,"Síndrome de Patau, no especificado",1
15,"Síndrome de Turner, no especificado",1
15,Síndrome del recién nacido de madre diabética,3
15,"Terminación del embarazo, feto y recién nacido",2
16,Afección no especificada originada en el período perinatal,3
16,Anencefalia,48
16,"Anomalía cromosómica, no especificada",9
16,Anomalía de Ebstein,1
16,Atresia de los agujeros de Magendie y de Luschka,1
16,Bajo peso para la edad gestacional,136
16,"Complicaciones de procedimientos intrauterinos, no clasificados en otra parte",1
16,"Desnutrición fetal, sin mención de peso o talla bajos para la edad gestacional",28
16,Displasia renal,1
16,"Encefalocele, no especificado",3
16,"Espina bífida, no especificada",3
16,Exónfalos,1
16,Feto y recién nacido afectados por afección materna no especificada,4
16,Feto y recién nacido afectados por anormalidad no especificada de las membranas,4
16,Feto y recién nacido afectados por complicaciones maternas no especificadas del embarazo,2
16,Feto y recién nacido afectados por complicaciones no especificadas del trabajo de parto y del parto,1
16,Feto y recién nacido afectados por contracciones uterinas anormales,2
16,Feto y recién nacido afectados por corioamnionitis,16
16,Feto y recién nacido afectados por embarazo ectópico,1
16,Feto y recién nacido afectados por embarazo múltiple,6
16,Feto y recién nacido afectados por enfermedades infecciosas y parasitarias de la madre,5
16,Feto y recién nacido afectados por enfermedades renales y de las vías urinarias de la madre,26
16,Feto y recién nacido afectados por incompetencia del cuello uterino,20
16,"Feto y recién nacido afectados por influencias nocivas de la madre, no especificadas",1
16,Feto y recién nacido afectados por oligohidramnios,59
16,Feto y recién nacido afectados por otra compresión del cordón umbilical,99
16,"Feto y recién nacido afectados por otra presentación anómala, posición anómala y desproporción durante el trabajo de parto y el parto",6
16,Feto y recién nacido afectados por otras afecciones maternas,24
16,Feto y recién nacido afectados por otras anormalidades de las membranas,1
16,Feto y recién nacido afectados por otras anormalidades morfológicas y funcionales de la placenta y las no especificadas,284
16,Feto y recién nacido afectados por otras complicaciones del cordón umbilical y las no especificadas,25
16,Feto y recién nacido afectados por otras complicaciones especificadas del trabajo de parto y del parto,16
16,Feto y recién nacido afectados por otras complicaciones maternas del embarazo,81
16,Feto y recién nacido afectados por otras enfermedades circulatorias y respiratorias de la madre,1
16,Feto y recién nacido afectados por otras formas de desprendimiento y de hemorragia placentarios,98
16,Feto y recién nacido afectados por parto precipitado,4
16,Feto y recién nacido afectados por parto y extracción de nalgas,3
16,Feto y recién nacido afectados por placenta previa,17
16,Feto y recién nacido afectados por polihidramnios,10
16,Feto y recién nacido afectados por presentación anómala antes del trabajo de parto,2
16,Feto y recién nacido afectados por prolapso del cordón umbilical,13
16,Feto y recién nacido afectados por ruptura prematura de las membranas,122
16,Feto y recién nacido afectados por síndromes de transfusión placentaria,5
16,Feto y recién nacido afectados por trastornos hipertensivos de la madre,40
16,Feto y recién nacido afectados por trastornos nutricionales de la madre,1
16,Feto y recién nacido afectados por traumatismo de la madre,5
16,Gastrosquisis,6
16,Hemorragia fetal hacia la circulación materna,1
16,"Hidrocéfalo congénito, no especificado",6
16,Hidropesía fetal debida a otras enfermedades hemolíticas especificadas y a las no especificadas,1
16,Hidropesía fetal no debida a enfermedad hemolítica,15
16,Hipoplasia y displasia pulmonar,2
16,Hipoxia intrauterina notada por primera vez antes del inicio del trabajo de parto,125
16,Hipoxia intrauterina notada por primera vez durante el trabajo de parto y el parto,14
16,"Hipoxia intrauterina, no especificada",58
16,Incompatibilidad Rh del feto y del recién nacido,1
16,"Infección intraamniótica del feto, no clasificada en otra parte",1
16,"Infección propia del período perinatal, no especificada",2
16,Macrocefalia,1
16,"Malformaciones congénitas múltiples, no clasificadas en otra parte",56
16,"Malformación congénita del corazón, no especificada",8
16,"Malformación congénita del pulmón, no especificada",2
16,"Malformación congénita, no especificada",17
16,Muerte fetal de causa no especificada,69
16,Otras afecciones especificadas originadas en el período perinatal,866
16,Otras hemorragias fetales y neonatales especificadas,1
16,Otras malformaciones congénitas de la vejiga y de la uretra,1
16,"Otras malformaciones congénitas del corazón, especificadas",2
16,"Otras malformaciones congénitas del encéfalo, especificadas",1
16,"Otras malformaciones congénitas del sistema nervioso, no especificada",4
16,"Otras malformaciones congénitas, especificadas",1
16,Otras supresiones de parte de un cromosoma,1
16,"Otros síndromes de malformaciones congénitas especificados, no clasificados en otra parte",1
16,Otros trastornos cardiovasculares originados en el período perinatal,1
16,Pequeño para la edad gestacional,65
16,"Retardo del crecimiento fetal, no especificado",38
16,"Riñón poliquístico, tipo no especificado",1
16,"Síndrome de Down, no especificado",1
16,"Síndrome de Edwards, no especificado",2
16,"Síndrome de Patau, no especificado",1
16,Síndrome de Potter,1
16,Síndrome del recién nacido de madre diabética,7
16,"Terminación del embarazo, feto y recién nacido",1
16,Tetralogía de Fallot,1
17,Afección no especificada originada en el período perinatal,1
17,"Agenesia renal, sin otra especificación",2
17,Anencefalia,53
17,"Anomalía cromosómica, no especificada",9
17,Bajo peso para la edad gestacional,205
17,Craneosinostosis,1
17,"Desnutrición fetal, sin mención de peso o talla bajos para la edad gestacional",44
17,Dextrocardia,1
17,Discordancia de la conexión ventriculoarterial,1
17,Encefalocele occipital,1
17,"Encefalocele, no especificado",4
17,"Espina bífida, no especificada",1
17,Exónfalos,3
17,Feto y recién nacido afectados por afección materna no especificada,3
17,Feto y recién nacido afectados por anormalidad no especificada de las membranas,6
17,Feto y recién nacido afectados por complicaciones maternas no especificadas del embarazo,3
17,Feto y recién nacido afectados por complicaciones no especificadas del trabajo de parto y del parto,4
17,Feto y recién nacido afectados por contracciones uterinas anormales,2
17,Feto y recién nacido afectados por corioamnionitis,31
17,Feto y recién nacido afectados por embarazo ectópico,1
17,Feto y recién nacido afectados por embarazo múltiple,7
17,Feto y recién nacido afectados por enfermedades infecciosas y parasitarias de la madre,12
17,Feto y recién nacido afectados por enfermedades renales y de las vías urinarias de la madre,51
17,Feto y recién nacido afectados por incompetencia del cuello uterino,53
17,Feto y recién nacido afectados por oligohidramnios,78
17,Feto y recién nacido afectados por otra compresión del cordón umbilical,165
17,"Feto y recién nacido afectados por otra presentación anómala, posición anómala y desproporción durante el trabajo de parto y el parto",4
17,Feto y recién nacido afectados por otras afecciones maternas,26
17,Feto y recién nacido afectados por otras anormalidades morfológicas y funcionales de la placenta y las no especificadas,386
17,Feto y recién nacido afectados por otras complicaciones del cordón umbilical y las no especificadas,36
17,Feto y recién nacido afectados por otras complicaciones especificadas del trabajo de parto y del parto,31
17,Feto y recién nacido afectados por otras complicaciones maternas del embarazo,114
17,Feto y recién nacido afectados por otras formas de desprendimiento y de hemorragia placentarios,117
17,Feto y recién nacido afectados por otras medicaciones maternas,1
17,Feto y recién nacido afectados por parto precipitado,8
17,Feto y recién nacido afectados por parto y extracción de nalgas,4
17,Feto y recién nacido afectados por placenta previa,19
17,Feto y recién nacido afectados por polihidramnios,21
17,Feto y recién nacido afectados por presentación anómala antes del trabajo de parto,3
17,Feto y recién nacido afectados por prolapso del cordón umbilical,17
17,Feto y recién nacido afectados por ruptura prematura de las membranas,236
17,Feto y recién nacido afectados por síndromes de transfusión placentaria,9
17,Feto y recién nacido afectados por trastornos hipertensivos de la madre,43
17,Feto y recién nacido afectados por trastornos nutricionales de la madre,2
17,Feto y recién nacido afectados por traumatismo de la madre,8
17,Gastrosquisis,8
17,Hemorragia intracerebral (no traumática) del feto y del recién nacido,1
17,"Hemorragia intraventricular (no traumática) del feto y del recién nacido, sin otra especificación",3
17,"Hidrocéfalo congénito, no especificado",4
17,Hidropesía fetal debida a otras enfermedades hemolíticas especificadas y a las no especificadas,1
17,Hidropesía fetal no debida a enfermedad hemolítica,29
17,"Hipoplasia renal, no especificada",1
17,Hipoplasia y displasia pulmonar,2
17,Hipoxia intrauterina notada por primera vez antes del inicio del trabajo de parto,175
17,Hipoxia intrauterina notada por primera vez durante el trabajo de parto y el parto,34
17,"Hipoxia intrauterina, no especificada",46
17,Incompatibilidad Rh del feto y del recién nacido,1
17,"Infección intraamniótica del feto, no clasificada en otra parte",2
17,"Infección propia del período perinatal, no especificada",1
17,Levocardia,1
17,Malformaciones congénitas del cuerpo calloso,1
17,"Malformaciones congénitas múltiples, no clasificadas en otra parte",61
17,"Malformación congénita de la parte superior del tubo digestivo, no especificada",1
17,"Malformación congénita de las cámaras cardíacas y sus conexiones, no especificada",1
17,"Malformación congénita del aparato urinario, no especificada",1
17,"Malformación congénita del corazón, no especificada",16
17,"Malformación congénita del encéfalo, no especificada",1
17,"Malformación congénita del pulmón, no especificada",2
17,"Malformación congénita del riñón, no especificada",1
17,"Malformación congénita del sistema osteomuscular, no especificada",1
17,Malformación congénita no especificada de los huesos del cráneo y de la cara,2
17,"Malformación congénita, no especificada",17
17,Muerte fetal de causa no especificada,99
17,Otras afecciones especificadas originadas en el período perinatal,1196
17,"Otras anemias congénitas, no clasificadas en otra parte",1
17,"Otras anomalías de los cromosomas, especificadas",1
17,Otras enfermedades hemolíticas del feto y del recién nacido,2
17,Otras infecciones especificadas propias del período perinatal,2
17,Otras malformaciones congénitas de la pared abdominal,1
17,"Otras malformaciones congénitas del corazón, especificadas",2
17,"Otras malformaciones congénitas del sistema nervioso, no especificada",4
17,Otras malformaciones congénitas especificadas de la médula espinal,1
17,"Otras malformaciones congénitas, especificadas",4
17,Otros síndromes de malformaciones congénitas debidos a causas exógenas conocidas,1
17,"Otros síndromes de malformaciones congénitas especificados, no clasificados en otra parte",2
17,Pequeño para la edad gestacional,84
17,Persistencia de la circulación fetal,3
17,Recién nacido postérmino sin sobrepeso para su edad gestacional,3
17,"Retardo del crecimiento fetal, no especificado",52
17,Síndrome de Arnold-Chiari,1
17,"Síndrome de Down, no especificado",1
17,"Síndrome de Patau, no especificado",1
17,Síndrome de Potter,4
17,Síndrome del recién nacido de madre diabética,16
17,"Terminación del embarazo, feto y recién nacido",3
17,Tetralogía de Fallot,1
17,"Trastorno cardiovascular no especificado, originado en el período perinatal",1
18,Acondroplasia,1
18,Afección no especificada originada en el período perinatal,9
18,"Agenesia renal, sin otra especificación",2
18,Anencefalia,57
18,"Anomalía cromosómica, no especificada",5
18,Atresia de los agujeros de Magendie y de Luschka,1
18,"Ausencia, atresia y estenosis congénita del ano, sin fístula",1
18,Bajo peso para la edad gestacional,255
18,"Desnutrición fetal, sin mención de peso o talla bajos para la edad gestacional",46
18,Displasia renal,1
18,Dolicocefalia,1
18,"Encefalocele, no especificado",5
18,"Enfermedad hemolítica del feto y del recién nacido, no especificada",1
18,"Enfermedad infecciosa y parasitaria congénita, no especificada",1
18,"Enfermedad viral congénita, sin otra especificación",1
18,"Espina bífida, no especificada",2
18,Exónfalos,3
18,Feto y recién nacido afectados por afección materna no especificada,4
18,Feto y recién nacido afectados por anormalidad no especificada de las membranas,4
18,Feto y recién nacido afectados por complicaciones maternas no especificadas del embarazo,13
18,Feto y recién nacido afectados por complicaciones no especificadas del trabajo de parto y del parto,3
18,Feto y recién nacido afectados por contracciones uterinas anormales,2
18,Feto y recién nacido afectados por corioamnionitis,35
18,Feto y recién nacido afectados por drogadicción materna,2
18,Feto y recién nacido afectados por embarazo múltiple,7
18,Feto y recién nacido afectados por enfermedades infecciosas y parasitarias de la madre,14
18,Feto y recién nacido afectados por enfermedades renales y de las vías urinarias de la madre,60
18,Feto y recién nacido afectados por incompetencia del cuello uterino,71
18,"Feto y recién nacido afectados por influencias nocivas de la madre, no especificadas",2
18,Feto y recién nacido afectados por muerte materna,1
18,Feto y recién nacido afectados por oligohidramnios,115
18,Feto y recién nacido afectados por otra compresión del cordón umbilical,195
18,"Feto y recién nacido afectados por otra presentación anómala, posición anómala y desproporción durante el trabajo de parto y el parto",8
18,Feto y recién nacido afectados por otras afecciones maternas,39
18,Feto y recién nacido afectados por otras anormalidades de las membranas,5
18,Feto y recién nacido afectados por otras anormalidades morfológicas y funcionales de la placenta y las no especificadas,492
18,Feto y recién nacido afectados por otras complicaciones del cordón umbilical y las no especificadas,53
18,Feto y recién nacido afectados por otras complicaciones especificadas del trabajo de parto y del parto,30
18,Feto y recién nacido afectados por otras complicaciones maternas del embarazo,132
18,Feto y recién nacido afectados por otras formas de desprendimiento y de hemorragia placentarios,161
18,Feto y recién nacido afectados por otras medicaciones maternas,1
18,Feto y recién nacido afectados por parto precipitado,8
18,Feto y recién nacido afectados por parto y extracción de nalgas,2
18,Feto y recién nacido afectados por placenta previa,14
18,Feto y recién nacido afectados por polihidramnios,29
18,Feto y recién nacido afectados por presentación anómala antes del trabajo de parto,1
18,Feto y recién nacido afectados por prolapso del cordón umbilical,19
18,Feto y recién nacido afectados por ruptura prematura de las membranas,229
18,Feto y recién nacido afectados por síndromes de transfusión placentaria,14
18,Feto y recién nacido afectados por trastornos hipertensivos de la madre,69
18,Feto y recién nacido afectados por trastornos nutricionales de la madre,3
18,Feto y recién nacido afectados por traumatismo de la madre,12
18,Gastrosquisis,8
18,Hemorragia intracerebral (no traumática) del feto y del recién nacido,1
18,"Hemorragia intracraneal (no traumática) del feto y del recién nacido, sin otra especificación",1
18,"Hemorragia intraventricular (no traumática) del feto y del recién nacido, sin otra especificación",2
18,"Hidrocéfalo congénito, no especificado",8
18,Hidropesía fetal debida a incompatibilidad,1
18,Hidropesía fetal debida a otras enfermedades hemolíticas especificadas y a las no especificadas,1
18,Hidropesía fetal no debida a enfermedad hemolítica,41
18,Hipoplasia y displasia pulmonar,3
18,Hipoxia intrauterina notada por primera vez antes del inicio del trabajo de parto,215
18,Hipoxia intrauterina notada por primera vez durante el trabajo de parto y el parto,28
18,"Hipoxia intrauterina, no especificada",85
18,"Infección intraamniótica del feto, no clasificada en otra parte",2
18,"Malformaciones congénitas múltiples, no clasificadas en otra parte",77
18,"Malformación congénita de la cara y del cuello, no especificada",1
18,"Malformación congénita del aparato urinario, no especificada",1
18,"Malformación congénita del corazón, no especificada",11
18,"Malformación congénita del encéfalo, no especificada",2
18,"Malformación congénita del sistema digestivo, no especificada",1
18,Malformación congénita no especificada de los huesos del cráneo y de la cara,2
18,"Malformación congénita, no especificada",29
18,Muerte fetal de causa no especificada,131
18,"Osteocondrodisplasia con defectos del crecimiento de los huesos largos y de la columna vertebral, sin otra especificación",1
18,Otras afecciones especificadas originadas en el período perinatal,1403
18,"Otras anomalías de los cromosomas, especificadas",1
18,Otras anomalías hipoplásicas del encéfalo,1
18,Otras malformaciones congénitas de las cámaras cardíacas y sus conexiones,1
18,"Otras malformaciones congénitas del corazón, especificadas",1
18,"Otras malformaciones congénitas del encéfalo, especificadas",1
18,"Otras malformaciones congénitas del sistema digestivo, especificadas",1
18,"Otras malformaciones congénitas del sistema nervioso, no especificada",6
18,"Otras malformaciones congénitas, especificadas",6
18,Otros recién nacidos con sobrepeso para la edad gestacional,1
18,"Otros síndromes de malformaciones congénitas especificados, no clasificados en otra parte",1
18,Pequeño para la edad gestacional,91
18,Persistencia de la circulación fetal,1
18,Recién nacido postérmino sin sobrepeso para su edad gestacional,1
18,"Retardo del crecimiento fetal, no especificado",59
18,"Riñón poliquístico, autosómico recesivo",1
18,"Riñón poliquístico, tipo no especificado",1
18,"Síndrome de Down, no especificado",2
18,Síndrome de Potter,3
18,Síndrome del recién nacido de madre diabética,16
18,"Terminación del embarazo, feto y recién nacido",3
18,"Trastorno cardiovascular no especificado, originado en el período perinatal",1
18,"Trisomía 18, mosaico (por falta de disyunción mitótica)",1
19,Afección no especificada originada en el período perinatal,9
19,"Agenesia renal, bilateral",1
19,"Agenesia renal, sin otra especificación",2
19,Anencefalia,68
19,"Anomalía cromosómica, no especificada",12
19,Atresia de los agujeros de Magendie y de Luschka,1
19,Ausencia e hipoplasia congénita de la arteria umbilical,2
19,Bajo peso para la edad gestacional,286
19,"Complicaciones de procedimientos intrauterinos, no clasificados en otra parte",1
19,"Desnutrición fetal, sin mención de peso o talla bajos para la edad gestacional",48
19,"Encefalocele, no especificado",5
19,"Enfermedad hemolítica del feto y del recién nacido, no especificada",4
19,"Espina bífida, no especificada",4
19,Exónfalos,3
19,Feto y recién nacido afectados por afección materna no especificada,5
19,Feto y recién nacido afectados por anormalidad no especificada de las membranas,10
19,Feto y recién nacido afectados por complicaciones maternas no especificadas del embarazo,6
19,Feto y recién nacido afectados por complicaciones no especificadas del trabajo de parto y del parto,5
19,Feto y recién nacido afectados por contracciones uterinas anormales,6
19,Feto y recién nacido afectados por corioamnionitis,36
19,Feto y recién nacido afectados por drogadicción materna,4
19,Feto y recién nacido afectados por embarazo múltiple,1
19,Feto y recién nacido afectados por enfermedades infecciosas y parasitarias de la madre,12
19,Feto y recién nacido afectados por enfermedades renales y de las vías urinarias de la madre,50
19,Feto y recién nacido afectados por incompetencia del cuello uterino,63
19,Feto y recién nacido afectados por oligohidramnios,118
19,Feto y recién nacido afectados por otra compresión del cordón umbilical,228
19,"Feto y recién nacido afectados por otra presentación anómala, posición anómala y desproporción durante el trabajo de parto y el parto",8
19,Feto y recién nacido afectados por otras afecciones maternas,41
19,Feto y recién nacido afectados por otras anormalidades de las membranas,3
19,Feto y recién nacido afectados por otras anormalidades morfológicas y funcionales de la placenta y las no especificadas,592
19,Feto y recién nacido afectados por otras complicaciones del cordón umbilical y las no especificadas,54
19,Feto y recién nacido afectados por otras complicaciones especificadas del trabajo de parto y del parto,24
19,Feto y recién nacido afectados por otras complicaciones maternas del embarazo,170
19,Feto y recién nacido afectados por otras enfermedades circulatorias y respiratorias de la madre,2
19,Feto y recién nacido afectados por otras formas de desprendimiento y de hemorragia placentarios,166
19,Feto y recién nacido afectados por parto precipitado,8
19,Feto y recién nacido afectados por parto y extracción de nalgas,5
19,Feto y recién nacido afectados por placenta previa,30
19,Feto y recién nacido afectados por polihidramnios,29
19,Feto y recién nacido afectados por presentación anómala antes del trabajo de parto,4
